STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,LENGTH_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,COST_OF_WORKS_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,LENGTH_OF_ROAD_WORK_COMPLETED,NO_OF_BRIDGES_COMPLETED,EXPENDITURE_OCCURED,NO_OF_ROAD_WORKS_ BALANCE,LENGTH_OF_ROAD_WORK_BALANCE,NO_OF_BRIDGES_BALANCE
Andaman And Nicobar,Nicobar,PMGSY-I,3,2.969,0,1.3857,3,2.969,0,1.1082,0,0,0
Andaman And Nicobar,North and Middle Andaman,PMGSY-I,32,60.169,0,24.6908,32,59.19,0,18.5754,0,0,0
Andaman And Nicobar,North and Middle Andaman,PMGSY-II,24,54.67,0,27.7646,0,0,0,0,24,54.67,0
Andaman And Nicobar,South Andaman,PMGSY-I,32,40.146,0,18.5375,31,39.287,0,11.6894,1,0.541,0
Andaman And Nicobar,South Andaman,PMGSY-II,24,41.992,0,23.42439,7,17.747,0,8.6343,17,24.033,0
Andhra Pradesh,Anantapur,PMGSY-I,619,2169.505,35,526.1277,619,2126.386,34,517.912,0,0,1
Andhra Pradesh,Anantapur,PMGSY-II,14,125.7,0,56.0711,14,124.619,0,49.0126,0,0,0
Andhra Pradesh,Anantapur,PMGSY-III,27,267.158,8,180.52038,24,234.902,0,111.5182,3,23.2,8
Andhra Pradesh,Chittoor,PMGSY-I,283,889.681,6,188.3558,283,878.711,6,185.1493,0,0,0
Andhra Pradesh,Chittoor,PMGSY-II,18,126.045,0,57.9668,18,121.403,0,46.136,0,0,0
Andhra Pradesh,Chittoor,PMGSY-III,84,629.581,8,421.61578,68,476.394,0,193.0005,16,139.86,8
Andhra Pradesh,East Godavari,PMGSY-I,502,1402.046,20,341.4412,500,1308.782,17,322.73,2,13.7,3
Andhra Pradesh,East Godavari,PMGSY-II,18,123.049,0,61.7925,18,116.296,0,49.7726,0,0,0
Andhra Pradesh,East Godavari,RCPLWEA,26,340.896,10,249.85163,17,213.208,7,157.9498,9,123.276,3
Andhra Pradesh,East Godavari,PMGSY-III,27,183.925,2,105.33909,15,93.242,1,49.8617,12,87.78,1
Andhra Pradesh,East Godavari,PM-JANMAN,11,29.48,0,,0,0,0,0,11,29.48,0
Andhra Pradesh,Guntur,PMGSY-I,329,996.013,13,236.5601,329,1000.144,13,242.894,0,0,0
Andhra Pradesh,Guntur,PMGSY-II,13,141.44,1,78.0672,13,141.428,1,69.7068,0,0,0
Andhra Pradesh,Guntur,PMGSY-III,34,223.804,10,246.73719,17,104.817,0,67.7782,17,115.164,10
Andhra Pradesh,Krishna,PMGSY-I,286,689.37,9,157.6581,286,671.76,9,155.7358,0,0,0
Andhra Pradesh,Krishna,PMGSY-II,14,112.79,0,74.989,14,110.499,0,64.8999,0,0,0
Andhra Pradesh,Krishna,PMGSY-III,28,174.92,10,170.50895,11,80.703,0,49.6143,17,90.375,10
Andhra Pradesh,Kurnool,PMGSY-I,253,840.09,36,230.0254,253,785.4,36,180.9049,0,0,0
Andhra Pradesh,Kurnool,PMGSY-II,14,120.59,1,61.1501,14,118.643,1,55.6977,0,0,0
Andhra Pradesh,Kurnool,PMGSY-III,23,216.543,3,134.5823,19,173.057,1,96.2975,4,34.12,2
Andhra Pradesh,Kurnool,PM-JANMAN,1,7.11,0,,0,0,0,0,1,7.11,0
Andhra Pradesh,Nellore,PMGSY-I,241,854.399,41,224.9583,241,815.363,41,211.991,0,0,0
Andhra Pradesh,Nellore,PMGSY-II,8,72.4,0,38.916,8,66.902,0,30.7229,0,0,0
Andhra Pradesh,Nellore,PMGSY-III,21,199.53,3,145.44364,13,108.534,0,65.1818,8,86.559,3
Andhra Pradesh,Prakasam,PMGSY-I,231,986.07,45,311.795,231,946.537,45,302.8168,0,0,0
Andhra Pradesh,Prakasam,PMGSY-II,15,102.454,0,51.0679,15,98.705,0,44.7678,0,0,0
Andhra Pradesh,Prakasam,PMGSY-III,22,198.229,4,139.38,17,149.047,0,82.4026,5,45.02,4
Andhra Pradesh,Srikakulam,PMGSY-I,272,754.95,8,168.6459,272,751.936,8,165.3012,0,0,0
Andhra Pradesh,Srikakulam,PMGSY-II,10,85.49,0,42.3294,10,81.094,0,32.2526,0,0,0
Andhra Pradesh,Srikakulam,RCPLWEA,29,190.885,1,152.0249,23,168.583,1,131.1264,6,18.416,0
Andhra Pradesh,Srikakulam,PMGSY-III,20,149.365,10,149.67448,19,139.711,0,78.6296,1,4.8,10
Andhra Pradesh,Srikakulam,PM-JANMAN,9,17.58,0,,0,0,0,0,9,17.58,0
Andhra Pradesh,Visakhapatnam,PMGSY-I,590,1970.635,15,815.3598,587,1867.92,15,742.676,3,10.64,0
Andhra Pradesh,Visakhapatnam,PMGSY-II,5,34.62,0,21.309,5,31.291,0,16.1277,0,0,0
Andhra Pradesh,Visakhapatnam,RCPLWEA,101,763.459,24,589.9801,85,586.861,11,332.0842,16,160.334,13
Andhra Pradesh,Visakhapatnam,PMGSY-III,18,134.545,5,81.59809,17,117.224,0,54.0838,1,11.2,5
Andhra Pradesh,Visakhapatnam,PM-JANMAN,85,189,0,,0,0,0,0,85,189,0
Andhra Pradesh,Vizianagaram,PMGSY-I,256,761.67,6,218.2355,248,708.635,5,209.4114,8,40.493,1
Andhra Pradesh,Vizianagaram,PMGSY-II,12,82.54,0,46.135,12,81.89,0,37.7859,0,0,0
Andhra Pradesh,Vizianagaram,RCPLWEA,38,262.745,10,256.10564,27,193.205,5,189.3058,11,64.346,5
Andhra Pradesh,Vizianagaram,PMGSY-III,25,187.093,1,111.4704,19,127.351,0,68.6738,6,52.839,1
Andhra Pradesh,Vizianagaram,PM-JANMAN,19,50.37,0,,0,0,0,0,19,50.37,0
Andhra Pradesh,West Godavari,PMGSY-I,331,697.287,9,174.1576,331,685.052,9,158.4739,0,0,0
Andhra Pradesh,West Godavari,PMGSY-II,20,119.865,0,65.3566,20,117.996,0,52.7806,0,0,0
Andhra Pradesh,West Godavari,PMGSY-III,19,139.199,1,104.041,9,56.33,0,30.6373,10,80.631,1
Andhra Pradesh,West Godavari,PM-JANMAN,5,21.998,0,,0,0,0,0,5,21.998,0
Andhra Pradesh,Y S R Kadapa,PMGSY-I,245,756.38,11,191.3747,245,720.568,10,178.7158,0,0,1
Andhra Pradesh,Y S R Kadapa,PMGSY-II,13,83.97,0,37.2073,13,79.655,0,37.1865,0,0,0
Andhra Pradesh,Y S R Kadapa,PMGSY-III,65,520.911,9,342.2581,26,190.076,0,101.1192,39,320.929,9
Arunachal Pradesh,Anjaw,PMGSY-I,26,354.135,9,292.5651,19,291.455,2,237.3344,7,62.68,7
Arunachal Pradesh,Changlang,PMGSY-I,100,949.981,28,534.7094,99,937.846,28,524.7029,1,10.52,0
Arunachal Pradesh,Changlang,PMGSY-II,1,3.7,0,3.5192,1,3.7,0,3.4336,0,0,0
Arunachal Pradesh,Changlang,PMGSY-III,1,6.3,0,4.614,0,0,0,0,1,6.3,0
Arunachal Pradesh,Dibang Valley,PMGSY-I,16,201.68,0,203.992,12,173.88,0,156.3108,4,27.8,0
Arunachal Pradesh,Dibang Valley,PMGSY-II,9,51.81,0,46.95383,9,51.81,0,46.6464,0,0,0
Arunachal Pradesh,Dibang Valley,PMGSY-III,2,20.1,0,18.9373,0,0,0,0,2,20.1,0
Arunachal Pradesh,East Kameng,PMGSY-I,113,1903.87,16,1286.0398,97,1745.99,15,1211.4884,16,150.33,1
Arunachal Pradesh,East Kameng,PMGSY-III,3,16.9,0,14.4234,0,0,0,6.4385,3,16.9,0
Arunachal Pradesh,East Siang,PMGSY-I,23,51.925,1,25.3767,23,51.925,1,24.9895,0,0,0
Arunachal Pradesh,East Siang,PMGSY-II,3,17.51,0,7.812,3,17.51,0,7.9531,0,0,0
Arunachal Pradesh,East Siang,PMGSY-III,6,38.1,2,31.727,0,0,0,0,6,38.1,2
Arunachal Pradesh,Kamale,PMGSY-I,24,307.16,5,212.0949,24,310.66,5,212.4258,0,0,0
Arunachal Pradesh,Kamale,PMGSY-II,3,29.5,0,28.0793,3,29,0,28.2116,0,0,0
Arunachal Pradesh,Kamale,PMGSY-III,2,12.3,0,9.3786,0,0,0,0,2,12.3,0
Arunachal Pradesh,Kra Daadi,PMGSY-I,49,1149.142,18,926.1711,42,995.13,11,881.3967,7,149.762,7
Arunachal Pradesh,Kra Daadi,PMGSY-II,2,11,0,10.6034,2,11,0,11.3703,0,0,0
Arunachal Pradesh,Kra Daadi,PMGSY-III,2,14,0,12.1405,0,0,0,0,2,14,0
Arunachal Pradesh,Kurung Kumey,PMGSY-I,60,963.789,29,900.1091,48,859.499,22,824.8247,12,107.22,7
Arunachal Pradesh,Kurung Kumey,PMGSY-II,2,62,0,50.62418,1,38,0,39.9284,1,24,0
Arunachal Pradesh,Kurung Kumey,PMGSY-III,2,15,1,14.3856,0,0,0,0,2,15,1
Arunachal Pradesh,Lepa Rada,PMGSY-I,27,172.85,1,103.1735,27,171.339,1,95.712,0,0,0
Arunachal Pradesh,Lepa Rada,PMGSY-II,6,21.5,0,20.5254,6,21.3,0,18.9872,0,0,0
Arunachal Pradesh,Lepa Rada,PMGSY-III,2,23.8,0,23.3955,0,0,0,3.0005,2,23.8,0
Arunachal Pradesh,Lohit,PMGSY-I,14,48.9,0,12.5042,14,49.13,0,12.2983,0,0,0
Arunachal Pradesh,Lohit,PMGSY-II,2,15.64,0,9.0112,2,15.64,0,7.7549,0,0,0
Arunachal Pradesh,Lohit,PMGSY-III,3,19.76,1,32.7835,0,0,0,2.0094,3,19.76,1
Arunachal Pradesh,Longding,PMGSY-I,70,632.946,0,365.2963,69,632.609,0,363.9976,1,0.2,0
Arunachal Pradesh,Longding,PMGSY-II,3,13.7,0,13.372,3,13.7,0,11.7885,0,0,0
Arunachal Pradesh,Longding,PMGSY-III,15,130.87,0,122.5763,0,0,0,40.6869,15,130.87,0
Arunachal Pradesh,Lower Dibang Valley,PMGSY-I,29,171.48,4,104.4418,29,171.48,4,97.4866,0,0,0
Arunachal Pradesh,Lower Dibang Valley,PMGSY-II,4,18,0,8.82247,4,18,0,7.9,0,0,0
Arunachal Pradesh,Lower Dibang Valley,PMGSY-III,2,10.95,0,6.9559,0,0,0,0,2,10.95,0
Arunachal Pradesh,Lower Siang,PMGSY-I,44,276.1,18,242.9949,44,266.99,18,243.2234,0,0,0
Arunachal Pradesh,Lower Siang,PMGSY-II,3,7.56,0,3.2261,3,7.56,0,3.0301,0,0,0
Arunachal Pradesh,Lower Siang,PMGSY-III,4,67.432,11,100.7177,0,0,0,11.4647,4,67.432,11
Arunachal Pradesh,Lower Subansiri,PMGSY-I,47,423.66,5,271.7823,47,418.505,5,265.8233,0,0,0
Arunachal Pradesh,Lower Subansiri,PMGSY-II,5,28.14,0,30.5272,5,28.14,0,30.1846,0,0,0
Arunachal Pradesh,Lower Subansiri,PMGSY-III,10,73.17,2,69.2253,0,0,0,34.9301,10,73.17,2
Arunachal Pradesh,Namsai,PMGSY-I,39,209.16,1,97.9754,39,209.16,1,95.7677,0,0,0
Arunachal Pradesh,Namsai,PMGSY-II,6,20.17,0,7.8604,6,20.17,0,7.5789,0,0,0
Arunachal Pradesh,Namsai,PMGSY-III,5,26.01,1,20.3492,0,0,0,0,5,26.01,1
Arunachal Pradesh,Pakke kessang,PMGSY-I,16,184.28,3,123.1649,16,184.28,3,120.0708,0,0,0
Arunachal Pradesh,Pakke kessang,PMGSY-II,1,15.6,0,8.6733,1,15.6,0,7.7458,0,0,0
Arunachal Pradesh,Pakke kessang,PMGSY-III,1,6.85,0,5.5126,0,0,0,0,1,6.85,0
Arunachal Pradesh,Papum Pare,PMGSY-I,86,761.99,26,634.5073,86,755.51,26,661.8832,0,0,0
Arunachal Pradesh,Papum Pare,PMGSY-II,6,73.13,6,106.784,6,69.02,6,98.8974,0,0,0
Arunachal Pradesh,Papum Pare,PMGSY-III,3,46.52,6,78.0795,0,1,0,12.0741,3,45.52,6
Arunachal Pradesh,Shi Yomi,PMGSY-I,24,218.71,2,195.3334,22,169.12,1,150.93,2,49.59,1
Arunachal Pradesh,Shi Yomi,PMGSY-II,1,7.18,0,3.7164,1,5.295,0,3.0357,0,0,0
Arunachal Pradesh,Siang,PMGSY-I,57,467.5,1,305.1432,56,442.27,1,283.3656,1,28.1,0
Arunachal Pradesh,Siang,PMGSY-II,2,28.22,0,22.8833,2,28.22,0,21.6507,0,0,0
Arunachal Pradesh,Siang,PMGSY-III,1,4.3,0,4.1258,0,0,0,0,1,4.3,0
Arunachal Pradesh,Tawang,PMGSY-I,59,608.374,5,454.0604,59,602.472,5,481.8618,0,0,0
Arunachal Pradesh,Tawang,PMGSY-II,7,36.89,0,22.4746,7,36.771,0,22.9339,0,0,0
Arunachal Pradesh,Tawang,PMGSY-III,5,29.12,0,30.5956,0,0,0,0,5,29.12,0
Arunachal Pradesh,Tirap,PMGSY-I,91,577.61,5,303.2083,90,572.34,5,301.5282,1,2.75,0
Arunachal Pradesh,Tirap,PMGSY-II,2,11,0,8.2416,2,11,0,7.8375,0,0,0
Arunachal Pradesh,Tirap,PMGSY-III,4,39.91,0,32.6122,0,0,0,0,4,39.91,0
Arunachal Pradesh,Upper Siang,PMGSY-I,45,547.941,17,412.68226,42,503.795,11,383.8929,3,38.951,6
Arunachal Pradesh,Upper Siang,PMGSY-II,2,11.02,0,4.8324,2,11.02,0,4.875,0,0,0
Arunachal Pradesh,Upper Siang,PMGSY-III,1,5.4,0,4.0666,0,0,0,0,1,5.4,0
Arunachal Pradesh,Upper Subansiri,PMGSY-I,107,1456.32,19,1055.66722,91,1352.56,12,960.4322,16,104.5,7
Arunachal Pradesh,Upper Subansiri,PMGSY-II,4,38.37,1,52.2119,3,36.87,1,47.2804,1,1.5,0
Arunachal Pradesh,Upper Subansiri,PMGSY-III,9,63.3,5,76.2592,0,0,0,13.9033,9,63.3,5
Arunachal Pradesh,West Kameng,PMGSY-I,84,775.769,11,451.7983,81,768.405,10,463.8754,3,6.94,1
Arunachal Pradesh,West Kameng,PMGSY-II,2,8.22,0,3.9595,2,8.19,0,4.348,0,0,0
Arunachal Pradesh,West Kameng,PMGSY-III,3,20.56,0,14.3564,0,0,0,0,3,20.56,0
Arunachal Pradesh,West Siang,PMGSY-I,58,417.79,6,264.6555,57,399.43,6,259.4751,1,18.5,0
Arunachal Pradesh,West Siang,PMGSY-II,4,21.05,0,17.2134,4,21.05,0,16.0836,0,0,0
Arunachal Pradesh,West Siang,PMGSY-III,5,30.1,1,30.3644,0,0,0,1.6925,5,30.1,1
Assam,Baksa,PMGSY-I,300,1007.206,57,667.20473,296,999.584,55,690.5704,4,5.61,2
Assam,Baksa,PMGSY-II,8,55.431,4,41.1995,8,55.431,4,43.2605,0,0,0
Assam,Baksa,PMGSY-III,14,85.271,2,55.9084,7,73.087,1,40.7043,7,12.184,1
Assam,Barpeta,PMGSY-I,411,1326.201,160,1315.1108,406,1300.266,157,1374.3188,5,13.105,3
Assam,Barpeta,PMGSY-II,14,73.95,4,55.7711,13,73.92,3,55.2443,1,0.03,1
Assam,Barpeta,PMGSY-III,28,180.11,7,150.79157,22,152.587,0,113.1353,6,27.073,7
Assam,Bongaigaon,PMGSY-I,214,624.338,39,417.70806,214,624.08,39,434.6002,0,0,0
Assam,Bongaigaon,PMGSY-II,4,19.904,1,14.2269,4,19.904,1,13.0526,0,0,0
Assam,Bongaigaon,PMGSY-III,10,64.54,0,37.19961,4,52.22,0,18.1609,6,12.32,0
Assam,Cachar,PMGSY-I,277,1056.937,43,647.85356,277,1031.497,43,682.3409,0,0,0
Assam,Cachar,PMGSY-II,13,127.789,5,96.8147,13,127.789,5,93.8537,0,0,0
Assam,Cachar,PMGSY-III,32,170.737,5,127.69462,25,154.873,1,103.29,7,15.838,4
Assam,Chirang,PMGSY-I,140,531.319,45,456.52395,140,530.547,45,475.8436,0,0,0
Assam,Chirang,PMGSY-II,4,25.065,4,24.2265,4,25.065,4,24.7633,0,0,0
Assam,Chirang,PMGSY-III,7,50.91,2,36.6659,6,47.06,1,32.212,1,3.85,1
Assam,Darrang,PMGSY-I,237,826.613,45,541.39573,237,824.636,45,602.8427,0,0,0
Assam,Darrang,PMGSY-II,9,47.702,3,40.5783,9,47.702,3,44.0654,0,0,0
Assam,Darrang,PMGSY-III,17,122.687,4,101.20473,13,94.12,0,66.7993,4,26.222,4
Assam,Dhemaji,PMGSY-I,280,1141.823,126,1150.57087,280,1142.147,126,1167.6633,0,0,0
Assam,Dhemaji,PMGSY-II,5,41.775,6,38.6316,5,41.775,6,37.3534,0,0,0
Assam,Dhemaji,PMGSY-III,11,73.35,2,41.0744,9,71.73,0,31.6435,2,1.62,2
Assam,Dhubri,PMGSY-I,378,912.026,57,657.86704,378,896.157,57,699.0906,0,0,0
Assam,Dhubri,PMGSY-III,34,214.62,2,208.87806,28,208.52,0,183.2384,6,5.15,2
Assam,Dibrugarh,PMGSY-I,333,1015.233,11,514.56494,333,1009.482,11,569.6324,0,0,0
Assam,Dibrugarh,PMGSY-II,16,179.97,4,139.6455,16,179.92,4,141.1641,0,0,0
Assam,Dibrugarh,PMGSY-III,25,165.252,3,95.7086,22,153.08,2,80.638,3,9.812,1
Assam,Goalpara,PMGSY-I,375,1064.279,69,694.17209,375,1060.507,69,774.6764,0,0,0
Assam,Goalpara,PMGSY-III,20,143.229,0,112.62448,18,141.349,0,98.9022,2,1.79,0
Assam,Golaghat,PMGSY-I,304,1204.084,5,611.48229,304,1203.511,5,627.4275,0,0,0
Assam,Golaghat,PMGSY-II,9,88.092,0,59.8113,9,88.092,0,63.1976,0,0,0
Assam,Golaghat,PMGSY-III,22,169.34,0,113.78409,22,169.01,0,112.1504,0,0,0
Assam,Hailakandi,PMGSY-I,111,387.395,7,272.3226,111,380.831,7,302.6537,0,0,0
Assam,Hailakandi,PMGSY-II,2,17.3,0,14.218,2,17.3,0,14.1288,0,0,0
Assam,Hailakandi,PMGSY-III,14,96.978,0,54.04434,10,82.368,0,44.2568,4,14.606,0
Assam,Jorhat,PMGSY-I,367,1039.818,24,599.56406,366,1035.503,23,662.5487,1,0.05,1
Assam,Jorhat,PMGSY-II,10,61.25,1,53.6937,10,61.25,1,56.4897,0,0,0
Assam,Jorhat,PMGSY-III,24,152.876,0,92.00698,24,152.472,0,85.1971,0,0,0
Assam,Kamrup Rural,PMGSY-I,766,2220.377,133,1471.67112,765,2206.175,133,1617.0169,1,3,0
Assam,Kamrup Rural,PMGSY-II,35,183.965,10,172.4734,35,183.865,10,187.608,0,0,0
Assam,Kamrup Rural,PMGSY-III,49,271.82,3,258.50489,45,259.813,0,232.5007,4,11.92,3
Assam,Karbi Anglong,PMGSY-I,274,1206.485,30,742.48135,274,1198.393,30,787.944,0,0,0
Assam,Karbi Anglong,PMGSY-III,12,54.72,3,33.7323,3,30.1,0,21.9498,9,24.62,3
Assam,Karimganj,PMGSY-I,266,881.413,53,658.02889,266,876.615,53,750.822,0,0,0
Assam,Karimganj,PMGSY-III,18,119.45,0,93.6927,12,110.407,0,80.8571,6,8.968,0
Assam,Kokrajhar,PMGSY-I,220,735.645,33,586.70618,220,734.945,33,589.5738,0,0,0
Assam,Kokrajhar,PMGSY-II,7,31.725,1,18.8913,7,31.725,1,17.6913,0,0,0
Assam,Kokrajhar,PMGSY-III,6,43.22,3,34.02213,4,34.52,0,17.9992,2,8.7,3
Assam,Lakhimpur,PMGSY-I,295,1122.903,112,1000.43112,295,1116.529,112,1038.759,0,0,0
Assam,Lakhimpur,PMGSY-II,10,51.94,2,33.96306,10,51.94,2,32.548,0,0,0
Assam,Lakhimpur,PMGSY-III,19,123.05,2,74.1377,14,118.21,1,57.6564,5,4.78,1
Assam,Morigaon,PMGSY-I,260,799.111,14,549.8745,260,797.745,14,575.0967,0,0,0
Assam,Morigaon,PMGSY-II,11,81.95,5,66.3186,8,81.75,3,74.5014,3,0.15,2
Assam,Morigaon,PMGSY-III,18,135,2,100.5898,16,128.98,0,91.0226,2,5.02,2
Assam,N.C.Hills,PMGSY-I,80,494.63,7,287.1118,79,490.488,7,302.0262,1,0.321,0
Assam,N.C.Hills,PMGSY-III,17,131.15,2,98.48767,8,88.37,1,75.8504,9,42.78,1
Assam,Nalbari,PMGSY-I,207,535.042,21,290.16332,207,535.456,21,302.7266,0,0,0
Assam,Nalbari,PMGSY-II,14,95.335,0,62.66946,14,95.335,0,62.9336,0,0,0
Assam,Nalbari,PMGSY-III,33,188.03,0,138.5056,27,170.91,0,117.6442,6,17.12,0
Assam,Nowgaon,PMGSY-I,862,2200.263,46,1158.28563,862,2191.611,46,1240.8632,0,0,0
Assam,Nowgaon,PMGSY-II,18,134.856,5,93.0606,17,130.453,5,85.259,1,0.05,0
Assam,Nowgaon,PMGSY-III,56,363.01,2,198.68773,34,305.022,0,133.6868,22,56.911,2
Assam,Sibsagar,PMGSY-I,530,1287.658,31,658.33483,530,1270.561,31,728.2603,0,0,0
Assam,Sibsagar,PMGSY-II,19,109.877,3,78.8188,17,109.227,3,73.465,2,0.1,0
Assam,Sibsagar,PMGSY-III,23,110.22,4,71.46635,15,82.455,0,50.0822,8,27.77,4
Assam,Sonitpur,PMGSY-I,352,1216.775,58,706.49605,352,1215.605,58,733.436,0,0,0
Assam,Sonitpur,PMGSY-II,20,180.67,4,130.875,19,180.62,4,132.6555,1,0.05,0
Assam,Sonitpur,PMGSY-III,40,250.468,4,156.8863,28,226.96,1,142.9106,12,23.196,3
Assam,Tinsukia,PMGSY-I,354,1319.943,28,757.55064,354,1310.572,28,823.8409,0,0,0
Assam,Tinsukia,PMGSY-II,17,85.2,2,58.7516,17,85.24,2,59.1161,0,0,0
Assam,Tinsukia,PMGSY-III,18,140.04,3,95.80004,15,131.78,0,81.9482,3,7.8,3
Assam,Udalguri,PMGSY-I,172,785.389,78,599.83257,172,785.255,78,643.0436,0,0,0
Assam,Udalguri,PMGSY-II,5,27.736,1,25.7462,5,27.736,1,25.8681,0,0,0
Assam,Udalguri,PMGSY-III,9,63.36,0,54.9087,9,63.36,0,48.4306,0,0,0
Bihar,Araria,PMGSY-I,320,1646.233,220,1354.31006,317,1598.568,209,1246.4348,3,1.522,11
Bihar,Araria,PMGSY-II,15,317.75,54,361.92875,15,315.35,50,394.1226,0,0,4
Bihar,Araria,PMGSY-III,35,349.644,60,406.98168,14,141.286,0,63.498,21,205.254,60
Bihar,Arwal,PMGSY-I,160,360.407,4,163.48724,156,334.228,4,148.081,4,2.251,0
Bihar,Arwal,PMGSY-II,1,4.05,0,1.21388,0,0.45,0,1.324,1,3.6,0
Bihar,Arwal,PMGSY-III,9,74.283,4,60.09925,2,21.236,1,14.962,7,52.237,3
Bihar,Aurangabad,PMGSY-I,880,2540.884,18,1313.73406,875,2504.428,18,1196.7902,5,9.619,0
Bihar,Aurangabad,PMGSY-II,4,24.73,0,15.9788,4,24.73,0,14.5227,0,0,0
Bihar,Aurangabad,RCPLWEA,29,410.667,12,434.77915,23,384.732,9,412.2075,6,20.775,3
Bihar,Aurangabad,PMGSY-III,19,158.561,4,106.66194,14,140.2,0,48.0378,5,18.365,4
Bihar,Banka,PMGSY-I,488,1614.395,69,870.77704,486,1582.819,69,786.849,2,3.14,0
Bihar,Banka,PMGSY-II,5,57.16,0,24.2928,5,57.16,0,23.4551,0,0,0
Bihar,Banka,RCPLWEA,11,183.075,16,272.19727,11,181.293,16,216.1045,0,0,0
Bihar,Banka,PMGSY-III,31,294.545,0,200.55437,20,170.543,0,86.9732,11,120.653,0
Bihar,Begusarai,PMGSY-I,258,747.741,7,410.38037,255,724.06,7,298.0052,3,0.367,0
Bihar,Begusarai,PMGSY-II,11,61.055,1,33.72764,11,61.055,1,34.3338,0,0,0
Bihar,Begusarai,PMGSY-III,24,177.046,20,192.54704,5,61.802,6,57.8674,19,112.666,14
Bihar,Bhagalpur,PMGSY-I,393,1375.376,39,711.298,385,1298.734,38,604.1508,8,35.337,1
Bihar,Bhagalpur,PMGSY-II,4,33.35,0,17.2378,3,27.64,0,16.43,1,4.93,0
Bihar,Bhagalpur,PMGSY-III,8,60.813,4,61.31584,2,27.55,1,23.3385,6,33.258,3
Bihar,Bhojpur,PMGSY-I,386,1106.624,4,566.29681,381,1056.841,4,500.85,5,21.296,0
Bihar,Bhojpur,PMGSY-II,2,26.025,0,10.6814,2,25.625,0,11.3167,0,0,0
Bihar,Bhojpur,PMGSY-III,20,162.227,0,124.1181,13,110.627,0,64.9033,7,51.487,0
Bihar,Buxar,PMGSY-I,338,1094.849,1,473.94658,334,1064.316,1,441.7273,4,3.323,0
Bihar,Buxar,PMGSY-II,1,7.817,0,5.455,1,7.817,0,4.2034,0,0,0
Bihar,Buxar,PMGSY-III,4,48.477,0,37.10216,3,27.908,0,14.0235,1,19.525,0
Bihar,Chapra(Saran),PMGSY-I,554,2082.745,12,1023.55816,552,2023.552,12,948.5812,2,11.43,0
Bihar,Chapra(Saran),PMGSY-II,18,63.492,0,25.39787,18,63.042,0,28.1169,0,0,0
Bihar,Chapra(Saran),PMGSY-III,29,205.306,0,146.70617,0,38.49,0,20.62,29,166.816,0
Bihar,Darbhanga,PMGSY-I,471,1521.72,31,984.1863,461,1241.648,30,611.1946,10,8.032,1
Bihar,Darbhanga,PMGSY-II,11,42.66,0,17.15696,9,38.66,0,16.8359,2,4,0
Bihar,Darbhanga,PMGSY-III,58,428.712,94,778.57075,15,194.783,0,197.7974,43,231.456,94
Bihar,East Champaran,PMGSY-I,792,2623.997,61,1557.40758,789,2486.37,61,1420.2173,3,4.306,0
Bihar,East Champaran,PMGSY-II,15,51.742,0,22.1739,15,51.742,0,24.1707,0,0,0
Bihar,East Champaran,PMGSY-III,37,280.783,20,292.60964,20,159.775,0,141.5729,17,119.929,20
Bihar,Gaya,PMGSY-I,1171,3031.293,54,1425.8857,1146,2922.406,51,1257.7834,25,79.142,3
Bihar,Gaya,PMGSY-II,20,141.465,3,94.72322,20,141.295,3,99.1389,0,0,0
Bihar,Gaya,RCPLWEA,26,290.228,8,299.64982,20,247.394,3,224.512,6,37.9,5
Bihar,Gaya,PMGSY-III,23,174.673,3,113.70823,20,136.901,0,54.0431,3,22.111,3
Bihar,Gopalganj,PMGSY-I,273,1150.732,3,636.65499,273,1137.65,3,615.0024,0,0,0
Bihar,Gopalganj,PMGSY-II,5,27.145,0,13.59418,5,27.145,0,14.1035,0,0,0
Bihar,Gopalganj,PMGSY-III,16,142.893,0,105.83215,13,112.81,0,81.0952,3,29.3,0
Bihar,Jahanabad,PMGSY-I,284,562.569,3,250.34601,281,548.744,3,222.4337,3,5.051,0
Bihar,Jahanabad,PMGSY-II,5,36.965,0,13.50654,5,36.741,0,17.5317,0,0,0
Bihar,Jahanabad,PMGSY-III,5,46.094,0,26.11107,0,10.747,0,9.5534,5,35.347,0
Bihar,Jamui,PMGSY-I,541,1846.65,54,1010.15891,529,1765.73,52,889.2805,12,41.858,2
Bihar,Jamui,PMGSY-II,9,52.865,0,28.64995,9,52.865,0,29.6689,0,0,0
Bihar,Jamui,RCPLWEA,22,414.657,18,549.95709,14,346.487,18,434.9403,8,66.206,0
Bihar,Jamui,PMGSY-III,3,18.262,0,9.85921,2,13.171,0,5.703,1,5.091,0
Bihar,Kaimur (Bhabhua),PMGSY-I,524,2093.072,3,953.02647,520,2014.829,3,820.5947,4,25.25,0
Bihar,Kaimur (Bhabhua),PMGSY-II,5,41.47,0,25.4849,5,40.77,0,23.0513,0,0,0
Bihar,Kaimur (Bhabhua),PMGSY-III,13,140.607,2,109.74506,10,98.59,0,39.0332,3,42.015,2
Bihar,Katihar,PMGSY-I,378,1363.269,52,803.89291,374,1312.976,44,762.8622,4,2.065,8
